Epoch 120 [Hybrid] | Train L1: 0.0503 | Val Center: 0.0135 Val L1: 0.0516
Epoch 121 [Hybrid] | Train L1: 0.0509 | Val Center: 0.0142 Val L1: 0.0519
Epoch 122 [Hybrid] | Train L1: 0.0502 | Val Center: 0.0114 Val L1: 0.0509
Epoch 123 [Hybrid] | Train L1: 0.0498 | Val Center: 0.0110 Val L1: 0.0506
Epoch 124 [Hybrid] | Train L1: 0.0499 | Val Center: 0.0119 Val L1: 0.0507
Epoch 125 [Hybrid] | Train L1: 0.0504 | Val Center: 0.0145 Val L1: 0.0515
Epoch 126 [Hybrid] | Train L1: 0.0500 | Val Center: 0.0125 Val L1: 0.0509
Epoch 127 [Hybrid] | Train L1: 0.0499 | Val Center: 0.0126 Val L1: 0.0511
Epoch 128 [Hybrid] | Train L1: 0.0496 | Val Center: 0.0121 Val L1: 0.0510
Epoch 129 [Hybrid] | Train L1: 0.0497 | Val Center: 0.0112 Val L1: 0.0508
Epoch 130 [Hybrid] | Train L1: 0.0502 | Val Center: 0.0151 Val L1: 0.0518
Epoch 131 [Hybrid] | Train L1: 0.0502 | Val Center: 0.0119 Val L1: 0.0511
Epoch 132 [Hybrid] | Train L1: 0.0495 | Val Center: 0.0127 Val L1: 0.0508
Epoch 133 [Hybrid] | Train L1: 0.0496 | Val Center: 0.0105 Val L1: 0.0506
Epoch 134 [Hybrid] | Train L1: 0.0493 | Val Center: 0.0115 Val L1: 0.0509
Epoch 135 [Hybrid] | Train L1: 0.0492 | Val Center: 0.0100 Val L1: 0.0506
Epoch 136 [Hybrid] | Train L1: 0.0493 | Val Center: 0.0101 Val L1: 0.0507
Epoch 137 [Hybrid] | Train L1: 0.0493 | Val Center: 0.0105 Val L1: 0.0507
Epoch 138 [Hybrid] | Train L1: 0.0494 | Val Center: 0.0113 Val L1: 0.0509
Epoch 139 [Hybrid] | Train L1: 0.0496 | Val Center: 0.0108 Val L1: 0.0508
Epoch 140 [Hybrid] | Train L1: 0.0504 | Val Center: 0.0100 Val L1: 0.0504
Epoch 141 [Hybrid] | Train L1: 0.0500 | Val Center: 0.0100 Val L1: 0.0503
Epoch 142 [Hybrid] | Train L1: 0.0496 | Val Center: 0.0099 Val L1: 0.0504
Epoch 143 [Hybrid] | Train L1: 0.0494 | Val Center: 0.0104 Val L1: 0.0504
Epoch 144 [Hybrid] | Train L1: 0.0490 | Val Center: 0.0102 Val L1: 0.0504
Epoch 145 [Hybrid] | Train L1: 0.0491 | Val Center: 0.0107 Val L1: 0.0504
Epoch 146 [Hybrid] | Train L1: 0.0492 | Val Center: 0.0111 Val L1: 0.0510
Epoch 147 [Hybrid] | Train L1: 0.0490 | Val Center: 0.0104 Val L1: 0.0508
Epoch 148 [Hybrid] | Train L1: 0.0491 | Val Center: 0.0098 Val L1: 0.0505
Epoch 149 [Hybrid] | Train L1: 0.0490 | Val Center: 0.0096 Val L1: 0.0506
Epoch 150 [Hybrid] | Train L1: 0.0489 | Val Center: 0.0119 Val L1: 0.0513
Epoch 151 [Hybrid] | Train L1: 0.0489 | Val Center: 0.0102 Val L1: 0.0506
Epoch 152 [Hybrid] | Train L1: 0.0488 | Val Center: 0.0110 Val L1: 0.0510
Epoch 153 [Hybrid] | Train L1: 0.0491 | Val Center: 0.0100 Val L1: 0.0508
Epoch 154 [Hybrid] | Train L1: 0.0490 | Val Center: 0.0098 Val L1: 0.0505
Epoch 155 [Hybrid] | Train L1: 0.0490 | Val Center: 0.0108 Val L1: 0.0508
Epoch 156 [Hybrid] | Train L1: 0.0486 | Val Center: 0.0102 Val L1: 0.0509
Epoch 157 [Hybrid] | Train L1: 0.0488 | Val Center: 0.0099 Val L1: 0.0506
Epoch 158 [Hybrid] | Train L1: 0.0488 | Val Center: 0.0131 Val L1: 0.0517
Epoch 159 [Hybrid] | Train L1: 0.0488 | Val Center: 0.0101 Val L1: 0.0508
Epoch 160 [Hybrid] | Train L1: 0.0488 | Val Center: 0.0109 Val L1: 0.0509
Epoch 161 [Hybrid] | Train L1: 0.0491 | Val Center: 0.0104 Val L1: 0.0510
Epoch 162 [Hybrid] | Train L1: 0.0489 | Val Center: 0.0108 Val L1: 0.0511
Epoch 163 [Hybrid] | Train L1: 0.0485 | Val Center: 0.0095 Val L1: 0.0510
Epoch 164 [Hybrid] | Train L1: 0.0488 | Val Center: 0.0103 Val L1: 0.0510
Epoch 165 [Hybrid] | Train L1: 0.0486 | Val Center: 0.0100 Val L1: 0.0509
Epoch 166 [Hybrid] | Train L1: 0.0484 | Val Center: 0.0101 Val L1: 0.0511
Epoch 167 [Hybrid] | Train L1: 0.0483 | Val Center: 0.0098 Val L1: 0.0512
Epoch 168 [Hybrid] | Train L1: 0.0483 | Val Center: 0.0100 Val L1: 0.0510
Epoch 169 [Hybrid] | Train L1: 0.0483 | Val Center: 0.0102 Val L1: 0.0513
Epoch 170 [Hybrid] | Train L1: 0.0486 | Val Center: 0.0099 Val L1: 0.0512
Epoch 171 [Hybrid] | Train L1: 0.0484 | Val Center: 0.0101 Val L1: 0.0511
Epoch 172 [Hybrid] | Train L1: 0.0482 | Val Center: 0.0100 Val L1: 0.0515
Epoch 173 [Hybrid] | Train L1: 0.0483 | Val Center: 0.0106 Val L1: 0.0513
Epoch 174 [Hybrid] | Train L1: 0.0482 | Val Center: 0.0097 Val L1: 0.0511
Epoch 175 [Hybrid] | Train L1: 0.0482 | Val Center: 0.0094 Val L1: 0.0512
Epoch 176 [Hybrid] | Train L1: 0.0486 | Val Center: 0.0098 Val L1: 0.0511
Epoch 177 [Hybrid] | Train L1: 0.0483 | Val Center: 0.0096 Val L1: 0.0511
Epoch 178 [Hybrid] | Train L1: 0.0481 | Val Center: 0.0097 Val L1: 0.0511
Epoch 179 [Hybrid] | Train L1: 0.0480 | Val Center: 0.0098 Val L1: 0.0512
Epoch 180 [Hybrid] | Train L1: 0.0480 | Val Center: 0.0115 Val L1: 0.0518
