Run: results/run_20260410_175156
Device: mps  |  Trainable params: 2,516,108
Config: LR=0.0003  WD=0  BS=4  AUGMENT=False  Epochs=300  Warmup=5
------------------------------------------------------------------------------------------
Epoch  60 [Hybrid ] | Train: tot=0.1031 ctr=0.0173 sz=0.0401 l1=0.0543 | Val: tot=0.1166 ctr=0.0163 sz=0.0465 l1=0.0620 | 6.3s
Epoch  61 [Hybrid ] | Train: tot=0.1029 ctr=0.0170 sz=0.0403 l1=0.0542 | Val: tot=0.1167 ctr=0.0184 sz=0.0472 l1=0.0603 | 606.5s
Epoch  62 [Hybrid ] | Train: tot=0.1012 ctr=0.0166 sz=0.0395 l1=0.0534 | Val: tot=0.1150 ctr=0.0177 sz=0.0467 l1=0.0595 | 7.6s
Epoch  63 [Hybrid ] | Train: tot=0.0993 ctr=0.0150 sz=0.0387 l1=0.0532 | Val: tot=0.1152 ctr=0.0157 sz=0.0462 l1=0.0612 | 6.0s
Epoch  64 [Hybrid ] | Train: tot=0.1017 ctr=0.0173 sz=0.0391 l1=0.0540 | Val: tot=0.1253 ctr=0.0268 sz=0.0465 l1=0.0654 | 6.8s
Epoch  65 [Hybrid ] | Train: tot=0.1021 ctr=0.0162 sz=0.0395 l1=0.0544 | Val: tot=0.1155 ctr=0.0161 sz=0.0471 l1=0.0604 | 5.8s
Epoch  66 [Hybrid ] | Train: tot=0.1052 ctr=0.0191 sz=0.0387 l1=0.0569 | Val: tot=0.1147 ctr=0.0170 sz=0.0464 l1=0.0599 | 5.4s
Epoch  67 [Hybrid ] | Train: tot=0.0985 ctr=0.0144 sz=0.0387 l1=0.0527 | Val: tot=0.1152 ctr=0.0153 sz=0.0456 l1=0.0619 | 5.2s
Epoch  68 [Hybrid ] | Train: tot=0.0977 ctr=0.0135 sz=0.0381 l1=0.0528 | Val: tot=0.1145 ctr=0.0155 sz=0.0459 l1=0.0609 | 5.2s
Epoch  69 [Hybrid ] | Train: tot=0.0973 ctr=0.0149 sz=0.0374 l1=0.0524 | Val: tot=0.1170 ctr=0.0181 sz=0.0456 l1=0.0624 | 5.3s
